description;population;location;zones;annee_scolaire;date
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-18 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-19 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-20 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-21 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-22 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-23 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-24 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-25 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-26 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-27 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-28 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-29 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-30 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-10-31 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-11-01 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-11-02 22:00:00+00:00
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019-11-03 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-18 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-19 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-20 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-21 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-22 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-23 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-24 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-25 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-26 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-27 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-28 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-29 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-30 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-10-31 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-11-01 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-11-02 22:00:00+00:00
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019-11-03 22:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-20 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-21 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-22 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-23 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-24 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-25 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-26 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-27 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-28 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-29 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-30 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019-12-31 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2020-01-01 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2020-01-02 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2020-01-03 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2020-01-04 23:00:00+00:00
Vacances de Noël;-;Limoges;Zone A;2019-2020;2020-01-05 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-20 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-21 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-22 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-23 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-24 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-25 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-26 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-27 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-28 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-29 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-30 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2019-12-31 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2020-01-01 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2020-01-02 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2020-01-03 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2020-01-04 23:00:00+00:00
Vacances de Noël;-;Lyon;Zone A;2019-2020;2020-01-05 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-02-21 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-02-22 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-02-23 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-02-24 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-02-25 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-02-26 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-02-27 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-02-28 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-02-29 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-03-01 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-03-02 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-03-03 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-03-04 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-03-05 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-03-06 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-03-07 23:00:00+00:00
Vacances d'Hiver;-;Grenoble;Zone A;2019-2020;2020-03-08 23:00:00+00:00
Vacances de Printemps;-;Lyon;Zone A;2019-2020;2020-04-17 22:00:00+00:00
Vacances de Printemps;-;Lyon;Zone A;2019-2020;2020-04-18 22:00:00+00:00
Vacances de Printemps;-;Lyon;Zone A;2019-2020;2020-04-19 22:00:00+00:00
Vacances de Printemps;-;Lyon;Zone A;2019-2020;2020-04-20 22:00:00+00:00
Vacances de Printemps;-;Lyon;Zone A;2019-2020;2020-04-21 22:00:00+00:00
Vacances de Printemps;-;Lyon;Zone A;2019-2020;2020-04-22 22:00:00+00:00
Vacances de Printemps;-;Lyon;Zone A;2019-2020;2020-04-23 22:00:00+00:00
