description;population;location;zones;annee_scolaire;date;Departement
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/18;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/19;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/20;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/21;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/22;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/23;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/24;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/25;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/26;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/27;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/28;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/29;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/30;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/10/31;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/11/01;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/11/02;Gironde
Vacances de la Toussaint;-;Bordeaux;Zone A;2019-2020;2019/11/03;Gironde
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/18;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/19;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/20;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/21;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/22;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/23;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/24;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/25;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/26;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/27;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/28;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/29;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/30;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/10/31;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/11/01;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/11/02;Rhône
Vacances de la Toussaint;-;Lyon;Zone A;2019-2020;2019/11/03;Rhône
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/20;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/21;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/22;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/23;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/24;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/25;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/26;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/27;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/28;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/29;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/30;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2019/12/31;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2020/01/01;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2020/01/02;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2020/01/03;Haute-Vienne
Vacances de Noël;-;Limoges;Zone A;2019-2020;2020/01/04;Haute-Vienne
